id,quote_id,amount,fee_percentage,is_paid,paid_at,payment_summary,created_at,updated_at,reference,due_date,approved,slug,token
44,49,50.0,,f,,deposit,2015-09-15 09:47:58.872599,2015-09-15 09:47:58.97734,1234-44,2015-09-23,f,,
40,50,1.0,10,t,2015-09-14 12:21:18.132107,Small test payment,2015-09-14 12:05:35.804133,2015-09-14 12:21:18.141832,12345678test-40,2015-09-14,t,,
45,51,10.0,10,t,2015-09-15 12:22:42.571756,first payment,2015-09-15 12:19:42.247275,2015-09-15 12:22:42.573636,wqewqewrewq-45,2015-09-16,t,,
46,51,500.0,,f,,For semi completion,2015-09-15 16:24:16.231546,2015-09-15 16:24:16.246634,wqewqewrewq-46,2015-09-24,f,,
47,54,10.0,,f,,1st payment,2015-09-16 15:39:06.86757,2015-09-16 15:39:07.015041,asfds-47,2015-10-02,f,,
68,73,1100.0,10,t,2015-10-19 15:12:35.37315,50% deposit,2015-10-09 21:00:08.573768,2015-10-19 15:12:35.396626,-68,2015-10-12,t,34o5pv7byikk2nazbzhm4b2tn,34o5pv7byikk2nazbzhm4b2tn
49,54,100.0,10,f,,3rd,2015-09-16 15:43:24.125242,2015-09-16 15:59:11.294413,asfds-49,2015-09-03,t,,
74,46,10555.2,5,t,2015-10-19 18:34:55.550194,Deposit 30%,2015-10-12 16:04:04.968717,2015-10-19 18:34:55.553313,1RMR1-74,2015-10-12,t,yi2g0mw2ngwbzlkf1bhrahj6,yi2g0mw2ngwbzlkf1bhrahj6
48,54,10.0,10,f,,2nd payment,2015-09-16 15:39:23.707195,2015-09-16 16:00:51.35198,asfds-48,2015-09-25,t,,
51,56,20.0,,f,,2ND PAYMENT,2015-09-18 08:40:02.145975,2015-09-18 08:40:02.172421,123-51,2015-09-18,f,,
54,59,7616.0,"",f,,Deposit payment at start of project,2015-09-25 09:30:25.545741,2015-09-30 13:00:18.357818,1RJSDS01-54,2015-10-21,f,d6qjxdl72oblwr5b4skejw8h1,d6qjxdl72oblwr5b4skejw8h1
50,56,10.0,10,t,2015-09-18 08:42:44.041101,1ST PAYMENT,2015-09-18 08:39:43.023127,2015-09-18 08:42:44.043032,123-50,2015-09-24,t,,
69,73,1100.0,10,f,,50% due on completion,2015-10-09 21:00:41.142416,2015-10-09 22:08:06.287925,-69,2015-10-30,t,1v469phyxgd7htstjcsgi1p60,1v469phyxgd7htstjcsgi1p60
52,57,10.0,10,f,,1st payment,2015-09-21 17:25:44.682242,2015-09-21 17:27:21.209819,1234-7-52,2015-09-29,t,88fq5iuzxipfh08fy9fus2wza,88fq5iuzxipfh08fy9fus2wza
53,57,20.0,"",f,,2nd payment,2015-09-21 17:25:59.089225,2015-09-23 10:25:13.629139,1234-7-53,2015-09-30,f,atg8e098lr3ij2k0hyl4c3f4k,atg8e098lr3ij2k0hyl4c3f4k
26,18,1031.25,10,t,2016-01-27 18:35:25.771608,Deposit (30%),2015-08-03 13:36:21.961561,2016-01-27 18:35:25.807825,-26,,t,c18fz2zilp37opurvcymttps1,c18fz2zilp37opurvcymttps1
27,18,1375.0,10,t,2016-01-28 10:55:13.946781,First installment due after first week (40%),2015-08-03 13:36:21.97836,2016-01-28 10:55:13.971348,-27,,t,40ayc463czzqfgwoy6fmw4klb,40ayc463czzqfgwoy6fmw4klb
36,45,1000.0,10,t,2015-10-09 20:51:12.418972,Balance of works completed to date,2015-09-11 12:28:45.813426,2015-10-09 20:51:12.438289,-36,2015-09-28,t,8plji8bo5w6kl49v2cnz4awak,8plji8bo5w6kl49v2cnz4awak
28,18,1031.25,10,t,2016-02-10 21:08:43.190631,Final installment due on completion (30%),2015-08-03 13:36:21.985919,2016-02-10 21:08:43.258041,-28,,t,f2b1s3co27jn32v1mz2qry0gl,f2b1s3co27jn32v1mz2qry0gl
59,58,3303.46,2.4,t,2015-10-11 10:58:34.065941,Kitchen supply cost,2015-10-02 12:12:38.685297,2015-10-11 10:58:34.069656,-59,2015-10-02,t,bsd81ny7ho5kltmlt3eqj5046,bsd81ny7ho5kltmlt3eqj5046
75,46,3267.09,5,t,2015-10-26 14:06:07.695496,Week 2,2015-10-12 16:04:29.480467,2015-10-26 14:06:07.69871,1RMR1-75,2015-10-30,t,2b3rltm4jx3rnlfxnqqqiswhw,2b3rltm4jx3rnlfxnqqqiswhw
71,58,3539.02,10,t,2015-10-28 17:42:45.900013,2ND PAYMENT,2015-10-12 10:20:44.184564,2015-10-28 17:42:45.901774,1RTMSF1-71,2015-10-23,t,3ojofvvuz6s4ydgpe7a7xfkv8,3ojofvvuz6s4ydgpe7a7xfkv8
70,58,2594.91,10,t,2015-10-17 09:16:23.125821,1st payment (retry) ,2015-10-11 12:09:46.24134,2015-10-17 09:16:23.130153,1RTMSF1-70,2015-10-12,t,l7rvcfu2a6qcqe6rohy0udok,l7rvcfu2a6qcqe6rohy0udok
66,67,1750.0,50,t,2015-10-19 09:01:28.36583,70% due on completion,2015-10-07 18:36:02.702988,2015-10-19 09:01:28.392546,-66,2015-10-14,t,2dcz1vcx1es0iwsvp733mhzou,2dcz1vcx1es0iwsvp733mhzou
67,45,486.0,100,t,2015-10-29 12:01:55.971639,On full completion,2015-10-09 17:07:53.230234,2015-10-29 12:01:55.998484,-67,2015-10-16,t,1juxm7vrjag5oy6ammkb2lt7p,1juxm7vrjag5oy6ammkb2lt7p
107,88,24.0,100,f,,payment,2016-01-04 10:13:37.179069,2016-01-04 10:18:12.682141,1R-D2F6IG-107,2016-01-14,t,2uhuawqbirhqckucmvddhbp2b,2uhuawqbirhqckucmvddhbp2b
83,46,1759.17,5,f,,Final retention,2015-10-12 16:30:58.559382,2015-10-29 09:56:25.050092,1RMR1-83,2016-02-19,t,f5l6kcaib6aob2bn4pxrdwq93,f5l6kcaib6aob2bn4pxrdwq93
84,46,90.5,100,f,,0.9% Credit card charge,2015-10-15 10:11:35.620764,2015-10-29 09:56:25.055817,1RMR1-84,2015-10-09,t,9l99wsomy4ksubv0jegamdxdk,9l99wsomy4ksubv0jegamdxdk
85,75,1225.0,"",f,2015-10-07 09:14:00,!st payment (has been paid),2015-10-21 10:24:09.74377,2015-10-21 10:25:12.056116,1RV2EEMI02-85,2015-10-07,t,7i31dgb8eoytdb6lsn2u1hu11,7i31dgb8eoytdb6lsn2u1hu11
77,46,3267.09,5,t,2015-11-04 14:25:22.575955,Week 6,2015-10-12 16:05:19.261222,2015-11-04 14:25:22.578769,1RMR1-77,2015-11-20,t,8pqlb93c4nsqu2lg48nha0iok,8pqlb93c4nsqu2lg48nha0iok
88,74,520.0,10,t,2015-11-04 21:30:19.982449,Final 40% payment of final balance ,2015-10-21 11:21:34.522441,2015-11-04 21:30:19.992873,-88,2015-10-28,t,8lhif56huf7mho25usas2wc19,8lhif56huf7mho25usas2wc19
108,86,2000.0,,f,,test,2016-01-14 15:39:24.719321,2016-01-14 15:39:26.597184,1R-TT28NI-108,2016-01-20,f,av5e44ug83fi9yk5t9tq1u50b,av5e44ug83fi9yk5t9tq1u50b
103,85,4488.0,10,f,,FINAL PAYMENT (due on completion),2015-11-25 17:03:18.333385,2015-11-25 17:03:59.946462,1R-GNRE3C-103,2016-01-19,t,d9ob0uquu81fxo33gy6or0glv,d9ob0uquu81fxo33gy6or0glv
102,85,3000.0,10,f,,2ND PAYMENT,2015-11-25 17:02:48.35232,2015-11-25 17:04:12.913451,1R-GNRE3C-102,2015-12-23,t,azyyy89maqzmsb27captdwmto,azyyy89maqzmsb27captdwmto
94,81,150.0,10,t,2015-11-11 14:03:21.638126,due on completion,2015-11-09 21:17:59.93974,2015-11-11 14:03:21.641301,1R-RNSOBL-94,2015-11-09,t,eqkc7kfp6o8zqe5x4vdbh2sfq,eqkc7kfp6o8zqe5x4vdbh2sfq
89,76,10.0,10,f,,234,2015-10-21 13:48:49.870235,2015-10-21 13:49:20.042602,1R-UD3GGT-89,2015-10-08,t,c9li8kgk6pr20utso4te2g4v2,c9li8kgk6pr20utso4te2g4v2
86,75,325.0,10,t,2015-10-22 07:51:07.101412,2nd payment (taking into account £100 discount),2015-10-21 10:24:43.761826,2015-10-22 07:51:07.107134,1RV2EEMI02-86,2015-10-22,t,daob10yeyfke89lpvkfo1fs0f,daob10yeyfke89lpvkfo1fs0f
91,76,100.0,,f,,due on completion,2015-10-22 09:20:37.012648,2015-10-22 09:20:37.430181,1R-UD3GGT-91,2015-10-22,f,1ze0u28q5vna9vmnenj223b8y,1ze0u28q5vna9vmnenj223b8y
87,74,780.0,10,t,2015-10-23 08:45:28.604992,Initial payment of 60% of agreed costs.,2015-10-21 11:20:38.468088,2015-10-23 08:45:28.608359,-87,2015-10-23,t,6em3uusao6szf7dg9u4kiien7,6em3uusao6szf7dg9u4kiien7
95,82,10.0,,f,,deposit,2015-11-14 14:33:24.989118,2015-11-14 14:33:25.004647,1R-I6Z9DO-95,2015-11-19,f,chz3b4g0j93ug9mvo2ht18bey,chz3b4g0j93ug9mvo2ht18bey
92,78,1000.0,100,f,,Test payment (do not pay),2015-10-26 09:46:00.153493,2015-10-26 09:46:19.480549,1R-ZU75NE-92,2015-10-22,t,9hfo7gk90qsy4vwcmyyjq3php,9hfo7gk90qsy4vwcmyyjq3php
93,79,100.0,10,f,,This is a deposit,2015-10-26 11:03:34.699117,2015-10-26 11:07:42.660887,1R-YWAIKY-93,2015-10-29,t,7ag8gi78nsbchl9kks95dt321,7ag8gi78nsbchl9kks95dt321
101,85,3000.0,10,f,,1ST PAYMENT,2015-11-25 17:02:29.030073,2015-11-25 17:04:32.370814,1R-GNRE3C-101,2015-12-16,t,1xcv81qwdyns1plizavwk51bi,1xcv81qwdyns1plizavwk51bi
109,94,50.0,,f,,wfe,2016-01-27 04:27:07.342167,2016-01-27 04:27:07.354051,1R-3PCIYN-109,2016-01-30,f,62ro5bvn8lu6wg7mr7grfzixa,62ro5bvn8lu6wg7mr7grfzixa
96,82,200.0,,f,,1st payment,2015-11-15 16:25:32.087179,2015-11-15 16:25:32.121926,1R-I6Z9DO-96,2015-11-28,f,b5gi6i2gkmggl9ahrhtg6zfes,b5gi6i2gkmggl9ahrhtg6zfes
100,85,3000.0,10,f,,Deposit,2015-11-25 17:02:09.451788,2015-11-25 17:04:45.882163,1R-GNRE3C-100,2015-11-30,t,71sginm1u3ehl8kb41ey70vx4,71sginm1u3ehl8kb41ey70vx4
110,94,10.0,,f,,2nd,2016-01-28 18:07:06.163889,2016-01-28 18:07:06.205232,1R-3PCIYN-110,2016-01-31,f,bc5vhmtpnguwn29fm76a7wu2z,bc5vhmtpnguwn29fm76a7wu2z
99,58,1941.35,10,t,2015-11-23 07:05:11.267611,Final payment amended ,2015-11-20 17:34:38.865144,2015-11-23 07:05:11.269914,1RTMSF1-99,2015-11-20,t,ettfo9gio6ipl2to6bwql4sg1,ettfo9gio6ipl2to6bwql4sg1
82,46,3267.09,5,t,2016-03-21 12:45:03.257541,Week 14,2015-10-12 16:13:32.236253,2016-03-21 12:45:03.263519,1RMR1-82,2016-01-22,t,69mxglztflwo3xfubxflupjnj,69mxglztflwo3xfubxflupjnj
111,104,575.0,,t,2016-02-09 11:13:18.501558,"",2016-02-06 11:46:39.950658,2016-02-09 11:13:18.504271,1R-7K2POF-111,2016-02-09,f,b67wkih28b0oi4qm316rd89kw,b67wkih28b0oi4qm316rd89kw
104,86,1000.0,10,f,,Test (do not pay),2015-11-26 11:49:06.271695,2015-11-26 11:50:30.6635,1R-TT28NI-104,2015-11-30,t,egygzwuhpks3vttqhd1y4o4p8,egygzwuhpks3vttqhd1y4o4p8
106,83,1403.0,,f,,This is deposit due at the start of the job (held by 1ROOF),2015-11-26 15:39:44.591294,2015-11-26 15:39:44.635528,1R-PY20HW-106,2015-11-20,f,38fqsh02cma3rmghea3dv1stq,38fqsh02cma3rmghea3dv1stq
78,46,3267.09,5,t,2015-11-27 17:12:05.099258,Week 8,2015-10-12 16:05:43.521165,2015-11-27 17:12:05.10175,1RMR1-78,2015-12-04,t,f0kh8edgcfc0c0qfgff2vxpi2,f0kh8edgcfc0c0qfgff2vxpi2
79,46,3267.09,5,t,2015-11-27 17:12:46.017435,Week 10,2015-10-12 16:06:09.673307,2015-11-27 17:12:46.021849,1RMR1-79,2015-12-17,t,ahi0u304wr6qrenvjnt9ilari,ahi0u304wr6qrenvjnt9ilari
80,46,3267.09,5,t,2016-01-03 18:09:06.70707,Week 12,2015-10-12 16:06:28.742972,2016-01-03 18:09:06.709303,1RMR1-80,2016-01-08,t,90vu2jhvofv5c12rsckx54ffm,90vu2jhvofv5c12rsckx54ffm
115,141,965.0,10,f,,Total payment,2016-03-30 09:20:52.623875,2016-03-30 09:21:30.487192,1R-3L52TP-115,2016-03-31,t,ergxmdsso0ubsw8ytunoplmlo,ergxmdsso0ubsw8ytunoplmlo
114,126,10000.0,10,f,,"First instalment of works, second to be calculated and charged on completion. ",2016-03-18 09:57:32.391626,2016-03-18 10:00:10.534115,1R-0ETPQO-114,2016-03-18,f,4ihuy969yg0pwv7pqsle8ooex,4ihuy969yg0pwv7pqsle8ooex
113,119,1039.0,10,f,,Second 50%,2016-02-16 14:39:16.397443,2016-03-30 09:22:36.345646,1R-MRXS7D-113,2017-01-17,t,dkakzqg6fvo69m94sa2oy6v34,dkakzqg6fvo69m94sa2oy6v34
112,119,1040.0,10,f,,First 50%,2016-02-16 14:38:43.694766,2016-03-30 09:22:49.296269,1R-MRXS7D-112,2016-09-13,t,6e9qkgqp27f62rfzgdrugqvq2,6e9qkgqp27f62rfzgdrugqvq2
